top - 14:53:50 up  2:04,  3 users,  load average: 0.08, 0.20, 0.14
Tasks: 141 total,   1 running,  94 sleeping,  12 stopped,   0 zombie
%Cpu(s):  3.6 us,  1.0 sy,  0.0 ni, 94.7 id,  0.4 wa,  0.0 hi,  0.1 si,  0.1 st
KiB Mem :  1007296 total,    81528 free,   603008 used,   322760 buff/cache
KiB Swap:        0 total,        0 free,        0 used.   274696 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  848 root      20   0  858512  49896  21936 S  6.2  5.0   1:34.75 kubelet
27512 desai     20   0   44552   4044   3496 R  6.2  0.4   0:00.01 top
    1 root      20   0  225280   7064   4796 S  0.0  0.7   0:02.43 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kthreadd
    4 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kworker/0:0H
    6 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 mm_percpu_wq
    7 root      20   0       0      0      0 S  0.0  0.0   0:00.56 ksoftirqd/0
    8 root      20   0       0      0      0 I  0.0  0.0   0:00.70 rcu_sched
    9 root      20   0       0      0      0 I  0.0  0.0   0:00.00 rcu_bh
   10 root      rt   0       0      0      0 S  0.0  0.0   0:00.00 migration/0
   11 root      rt   0       0      0      0 S  0.0  0.0   0:00.01 watchdog/0
   12 root      20   0       0      0      0 S  0.0  0.0   0:00.00 cpuhp/0
   13 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kdevtmpfs
   14 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 netns
   15 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcu_tasks_kthre
   16 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kauditd
   17 root      20   0       0      0      0 S  0.0  0.0   0:00.00 xenbus
   18 root      20   0       0      0      0 S  0.0  0.0   0:00.01 xenwatch
   19 root      20   0       0      0      0 I  0.0  0.0   0:00.03 kworker/0:1
   20 root      20   0       0      0      0 S  0.0  0.0   0:00.00 khungtaskd
   21 root      20   0       0      0      0 S  0.0  0.0   0:00.00 oom_reaper
   22 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 writeback
   23 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kcompactd0
   24 root      25   5       0      0      0 S  0.0  0.0   0:00.00 ksmd
   25 root      39  19       0      0      0 S  0.0  0.0   0:00.97 khugepaged
   26 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 crypto
   27 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kintegrityd
   28 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kblockd
   29 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ata_sff
   30 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 md
   31 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 edac-poller
   32 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 devfreq_wq
   33 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 watchdogd
   36 root      20   0       0      0      0 S  0.0  0.0   0:00.80 kswapd0
   37 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kworker/u31:0
   38 root      20   0       0      0      0 S  0.0  0.0   0:00.00 ecryptfs-kthrea
   80 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kthrotld
   81 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 nvme-wq
   82 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_0
   83 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 scsi_tmf_0
   84 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_1
   85 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 scsi_tmf_1
   90 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ipv6_addrconf
  100 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kstrp
  169 root       0 -20       0      0      0 I  0.0  0.0   0:00.79 kworker/0:1H
  272 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 raid5wq
